tenure,Contract,InternetService,PaymentMethod,SeniorCitizen,Partner,Dependents,PaperlessBilling,PhoneService,OnlineSecurity,TechSupport,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,Churn
72,Two year,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,81.67,5754.58,No
24,Month-to-month,No,Electronic check,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.45,462.19,No
54,Two year,No,Mailed check,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.1,932.84,No
0,One year,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,65.4,67.92,No
25,Month-to-month,Fiber optic,Mailed check,0,No,Yes,No,Yes,No,No,Yes,No,Yes,No,76.95,1829.48,No
64,Two year,DSL,Bank transfer,0,No,No,No,Yes,Yes,No,No,No,No,Yes,58.57,3722.48,No
72,Two year,Fiber optic,Credit card,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,76.3,5500.0,No
41,Two year,No,Bank transfer,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.56,797.26,No
17,Month-to-month,Fiber optic,Electronic check,1,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,86.77,1511.92,Yes
0,Month-to-month,Fiber optic,Mailed check,0,Yes,Yes,No,Yes,No,No,Yes,No,No,No,71.57,73.5,Yes
0,Month-to-month,Fiber optic,Credit card,1,Yes,No,No,Yes,No,No,Yes,Yes,No,No,80.26,78.93,Yes
62,Two year,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,No,No,No,No,No,62.4,3926.27,No
58,One year,Fiber optic,Credit card,1,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,94.65,5432.25,No
72,Two year,No,Mailed check,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.67,1586.51,No
